,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_state_dim,param_learning_rate,param_epochs,param_dropout_rate,param_batch_size,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,347.60729455947876,0.15737509727478027,19.934972405433655,0.19029319286346436,100,0.001,10,0.2,32,"{'state_dim': 100, 'learning_rate': 0.001, 'epochs': 10, 'dropout_rate': 0.2, 'batch_size': 32}",0.8554221987724304,0.8493777513504028,0.8523999750614166,0.003022223711013794,4
1,351.0395668745041,1.2839261293411255,10.906775116920471,0.009154200553894043,200,0.001,10,0.3,64,"{'state_dim': 200, 'learning_rate': 0.001, 'epochs': 10, 'dropout_rate': 0.3, 'batch_size': 64}",0.8589777946472168,0.8537777662277222,0.8563777804374695,0.0026000142097473145,1
2,344.7319428920746,1.6931486129760742,19.644108772277832,0.09100747108459473,20,0.0001,10,0.2,32,"{'state_dim': 20, 'learning_rate': 0.0001, 'epochs': 10, 'dropout_rate': 0.2, 'batch_size': 32}",0.816266655921936,0.8378666639328003,0.8270666599273682,0.010800004005432129,10
3,350.1101350784302,7.184405326843262,20.00251603126526,0.34528160095214844,20,0.001,10,0.5,32,"{'state_dim': 20, 'learning_rate': 0.001, 'epochs': 10, 'dropout_rate': 0.5, 'batch_size': 32}",0.8518221974372864,0.8490222096443176,0.850422203540802,0.001399993896484375,5
4,356.9569993019104,0.6762251853942871,19.688363313674927,0.08546638488769531,200,0.01,5,0.5,32,"{'state_dim': 200, 'learning_rate': 0.01, 'epochs': 5, 'dropout_rate': 0.5, 'batch_size': 32}",0.8363555669784546,0.854888916015625,0.8456222414970398,0.009266674518585205,7
5,347.4673103094101,2.456888794898987,5.308215618133545,0.027547121047973633,20,0.0001,15,0.2,128,"{'state_dim': 20, 'learning_rate': 0.0001, 'epochs': 15, 'dropout_rate': 0.2, 'batch_size': 128}",0.8362666964530945,0.830133318901062,0.8332000076770782,0.0030666887760162354,9
6,351.82317662239075,0.8729441165924072,10.682201385498047,0.09703302383422852,200,0.001,10,0.2,64,"{'state_dim': 200, 'learning_rate': 0.001, 'epochs': 10, 'dropout_rate': 0.2, 'batch_size': 64}",0.8485777974128723,0.8571110963821411,0.8528444468975067,0.004266649484634399,3
7,349.3509410619736,6.789808630943298,10.076917052268982,0.08224976062774658,20,0.001,15,0.3,64,"{'state_dim': 20, 'learning_rate': 0.001, 'epochs': 15, 'dropout_rate': 0.3, 'batch_size': 64}",0.8433333039283752,0.8528888821601868,0.848111093044281,0.004777789115905762,6
8,365.88421761989594,0.10596144199371338,10.94617772102356,0.10361647605895996,500,0.001,10,0.2,64,"{'state_dim': 500, 'learning_rate': 0.001, 'epochs': 10, 'dropout_rate': 0.2, 'batch_size': 64}",0.8491555452346802,0.856844425201416,0.8529999852180481,0.00384443998336792,2
9,345.74537312984467,0.015608906745910645,10.058393478393555,0.10144352912902832,100,0.01,15,0.5,64,"{'state_dim': 100, 'learning_rate': 0.01, 'epochs': 15, 'dropout_rate': 0.5, 'batch_size': 64}",0.8323555588722229,0.8546222448348999,0.8434889018535614,0.011133342981338501,8
