,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_state_dim,param_learning_rate,param_epochs,param_dropout_rate,param_batch_size,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,480.499627828598,5.437079668045044,17.206931471824646,0.048108696937561035,50,0.0001,10,0.3,64,"{'state_dim': 50, 'learning_rate': 0.0001, 'epochs': 10, 'dropout_rate': 0.3, 'batch_size': 64}",0.8424888849258423,0.8436444401741028,0.8430666625499725,0.000577777624130249,8
1,481.5955706834793,2.385729670524597,17.709530353546143,0.17521309852600098,200,0.001,15,0.2,64,"{'state_dim': 200, 'learning_rate': 0.001, 'epochs': 15, 'dropout_rate': 0.2, 'batch_size': 64}",0.8487111330032349,0.8426222205162048,0.8456666767597198,0.0030444562435150146,6
2,485.9210066795349,0.015318155288696289,9.283140063285828,0.1391385793685913,200,0.0001,5,0.2,128,"{'state_dim': 200, 'learning_rate': 0.0001, 'epochs': 5, 'dropout_rate': 0.2, 'batch_size': 128}",0.8310222029685974,0.8329777717590332,0.8319999873638153,0.0009777843952178955,10
3,470.5586096048355,1.1478523015975952,8.920143008232117,0.1446009874343872,100,0.01,15,0.2,128,"{'state_dim': 100, 'learning_rate': 0.01, 'epochs': 15, 'dropout_rate': 0.2, 'batch_size': 128}",0.8647555708885193,0.8615111112594604,0.8631333410739899,0.001622229814529419,1
4,476.97856652736664,1.5925182104110718,9.332614421844482,0.02486419677734375,500,0.001,10,0.3,128,"{'state_dim': 500, 'learning_rate': 0.001, 'epochs': 10, 'dropout_rate': 0.3, 'batch_size': 128}",0.8549333214759827,0.8553333282470703,0.8551333248615265,0.00020000338554382324,4
5,487.8908190727234,3.9232354164123535,17.230217576026917,0.004568934440612793,50,0.0001,5,0.5,64,"{'state_dim': 50, 'learning_rate': 0.0001, 'epochs': 5, 'dropout_rate': 0.5, 'batch_size': 64}",0.8392000198364258,0.8429333567619324,0.8410666882991791,0.001866668462753296,9
6,464.02734982967377,1.2094722986221313,9.088589787483215,0.006866812705993652,20,0.001,5,0.3,128,"{'state_dim': 20, 'learning_rate': 0.001, 'epochs': 5, 'dropout_rate': 0.3, 'batch_size': 128}",0.8391110897064209,0.8491555452346802,0.8441333174705505,0.005022227764129639,7
7,483.4205015897751,0.00878918170928955,33.96213936805725,0.08243465423583984,200,0.01,10,0.5,32,"{'state_dim': 200, 'learning_rate': 0.01, 'epochs': 10, 'dropout_rate': 0.5, 'batch_size': 32}",0.8542666435241699,0.859333336353302,0.856799989938736,0.00253334641456604,3
8,479.9523410797119,0.6090054512023926,16.757133960723877,0.05413246154785156,50,0.01,15,0.2,64,"{'state_dim': 50, 'learning_rate': 0.01, 'epochs': 15, 'dropout_rate': 0.2, 'batch_size': 64}",0.866266667842865,0.8392444252967834,0.8527555465698242,0.013511121273040771,5
9,477.44777405261993,0.34538400173187256,8.884312748908997,0.05237758159637451,50,0.01,15,0.5,128,"{'state_dim': 50, 'learning_rate': 0.01, 'epochs': 15, 'dropout_rate': 0.5, 'batch_size': 128}",0.8615555763244629,0.8592888712882996,0.8604222238063812,0.001133352518081665,2
