N,d,sigma,Ein,Eout
2,1,0.05,0.4300436722689338,0.5046210604469784
2,1,0.2,0.5592591645196533,0.5424674013730645
2,2,0.05,0.43225232667659136,0.503943197339428
2,2,0.2,0.476871434617995,0.5396821454238431
2,4,0.05,0.514575745360761,0.5052757570277232
2,4,0.2,0.5161731342671514,0.5380896208730337
2,8,0.05,0.4598929592283751,0.5019016524420706
2,8,0.2,0.477243380693337,0.5395874118162203
2,16,0.05,0.47828542446520506,0.4996954568500617
2,16,0.2,0.5269359376527702,0.5310386292702124
2,32,0.05,0.4589316716075803,0.49515258704609444
2,32,0.2,0.5303139160799947,0.5351211371590388
2,64,0.05,0.4743319509168915,0.4938986002284399
2,64,0.2,0.5048364522846568,0.5376194158179948
5,1,0.05,0.48822848612207104,0.5036268033174678
5,1,0.2,0.47760325032069273,0.5420867840690553
5,2,0.05,0.4741021379176402,0.5017270078590436
5,2,0.2,0.5278907863493085,0.5401034360236014
5,4,0.05,0.502875408046688,0.5039920094217272
5,4,0.2,0.5485825186663391,0.541968333425787
5,8,0.05,0.5088438156753738,0.5021575155259109
5,8,0.2,0.5119605454468882,0.5402746982359194
5,16,0.05,0.4774816344050983,0.49174659601689535
5,16,0.2,0.49128278910609313,0.5321986524893899
5,32,0.05,0.5233246518689026,0.49192133313484804
5,32,0.2,0.4722311060783872,0.5306803861864828
5,64,0.05,0.5058243761566428,0.49555379537670236
5,64,0.2,0.4879541468055563,0.5319560957948124
10,1,0.05,0.5136951927188952,0.5019967337367421
10,1,0.2,0.5363022374439066,0.5429162029733448
10,2,0.05,0.48207443551228557,0.5034620844767251
10,2,0.2,0.554155524700482,0.5410136587919532
10,4,0.05,0.4894054251272438,0.5030565265995107
10,4,0.2,0.5293181188217276,0.542381794807556
10,8,0.05,0.4893288419936174,0.49834002751038475
10,8,0.2,0.545313172178908,0.5352342348818655
10,16,0.05,0.4680802839176734,0.4938577374123355
10,16,0.2,0.4919950605669334,0.5329362825413638
10,32,0.05,0.4788400995451768,0.48779524899754717
10,32,0.2,0.5276916104571377,0.5279645029781694
10,64,0.05,0.4855151062257789,0.4932190989141532
10,64,0.2,0.5458950041626804,0.5284656522545317
20,1,0.05,0.4990922758481767,0.5009660546831997
20,1,0.2,0.5293818711138001,0.5380297666736129
20,2,0.05,0.5278848389472813,0.5004384791833663
20,2,0.2,0.5533120611000399,0.5404137038033655
20,4,0.05,0.5261951698888394,0.5029713214258279
20,4,0.2,0.5486930963535821,0.5399581516100627
20,8,0.05,0.49303907569597405,0.49953179200466985
20,8,0.2,0.5455603142295312,0.5363065302703537
20,16,0.05,0.4975199561164091,0.48786056241225045
20,16,0.2,0.5468359210383612,0.5298707057985512
20,32,0.05,0.473217120877651,0.49244166165054404
20,32,0.2,0.5175443013934927,0.528923886642257
20,64,0.05,0.4973292973182735,0.49044268263307933
20,64,0.2,0.5436371865432318,0.5274601492345296
50,1,0.05,0.5119214497978422,0.5018499800835384
50,1,0.2,0.5430195907797275,0.539368230504804
50,2,0.05,0.5063777129249654,0.5024883903809024
50,2,0.2,0.5447557511461948,0.5398240850405713
50,4,0.05,0.49559806106049903,0.5040585182982169
50,4,0.2,0.5324465231535601,0.5412551591770112
50,8,0.05,0.5001059986924569,0.49945448495928857
50,8,0.2,0.5108420251861165,0.5331093258974063
50,16,0.05,0.49056111049923584,0.49409633075586457
50,16,0.2,0.5186816140720186,0.5318163724655106
50,32,0.05,0.49561388748608864,0.4871859808156522
50,32,0.2,0.5273292971079697,0.5261160479543091
50,64,0.05,0.4923855141529355,0.49144150410563775
50,64,0.2,0.5421275496239031,0.5284424893323404
100,1,0.05,0.5067025461661107,0.5017843275625534
100,1,0.2,0.5393044285147689,0.5387078847750135
100,2,0.05,0.4969769373112698,0.5018940281295872
100,2,0.2,0.5343020288446817,0.5377820949278237
100,4,0.05,0.5020117105697194,0.5022206212189914
100,4,0.2,0.5408877508710659,0.540641424159585
100,8,0.05,0.4979893126583723,0.4971485536184545
100,8,0.2,0.5224187740530778,0.5359479158385883
100,16,0.05,0.4861426983368339,0.49007996041479857
100,16,0.2,0.5215069847114479,0.5284756678615503
100,32,0.05,0.488945773509248,0.4872968025719882
100,32,0.2,0.5196651762134621,0.5253122320480496
100,64,0.05,0.4865802647765033,0.4916823392194902
100,64,0.2,0.5260041633551281,0.5302041416842207
200,1,0.05,0.4994021209006537,0.5012321842216675
200,1,0.2,0.5368468881334116,0.5410885971172569
200,2,0.05,0.49943826876144437,0.5035639253069661
200,2,0.2,0.5349625005443605,0.5398535018998571
200,4,0.05,0.5004924278288894,0.502388553115535
200,4,0.2,0.5436770958269829,0.5410767524639026
200,8,0.05,0.4957307246199416,0.4981840571637408
200,8,0.2,0.5357736684165719,0.5344110441707647
200,16,0.05,0.487791947612548,0.49212192824444684
200,16,0.2,0.5338626545823681,0.5290413234028425
200,32,0.05,0.48890564641286033,0.48741059964194094
200,32,0.2,0.5279247918912867,0.5265399972768638
200,64,0.05,0.4872574111273535,0.49240761452298765
200,64,0.2,0.5300656239985669,0.5293532977449588
